,guests,beds,bathrooms,price_night,cleanliness_rate,accuracy_rate,communication_rate,location_rate,check-in_rate,value_rate,amenities_count,bedrooms
221,2.0,1.0,1.0,74.0,4.9,5.0,5.0,4.9,5.0,4.8,35.0,1.0
222,4.0,3.0,2.0,89.0,4.9,4.9,4.9,4.8,4.9,4.8,37.0,2.0
223,2.0,1.0,1.0,150.0,4.9,5.0,5.0,5.0,5.0,4.8,32.0,1.0
224,2.0,1.0,1.0,158.0,4.8,5.0,4.9,5.0,5.0,4.9,39.0,1.0
225,2.0,1.0,1.5,119.0,5.0,5.0,5.0,4.9,5.0,4.8,29.0,1.0
226,4.0,3.0,1.5,254.0,4.9,5.0,5.0,5.0,5.0,4.6,27.0,1.0
227,2.0,1.0,1.5,118.0,5.0,5.0,5.0,4.9,5.0,5.0,34.0,1.0
228,6.0,3.0,1.0,152.0,4.8,4.8,4.9,4.9,4.9,4.7,57.0,2.0
229,2.0,1.0,1.0,121.0,5.0,4.9,5.0,4.8,5.0,4.9,43.0,1.0
230,2.0,1.0,1.0,94.0,5.0,5.0,5.0,4.9,5.0,4.9,60.0,1.0
231,2.0,1.0,1.0,275.0,4.7,4.8,4.9,4.9,4.9,4.6,25.0,1.0
232,2.0,1.0,1.0,235.0,5.0,5.0,5.0,4.9,5.0,4.7,32.0,1.0
233,2.0,1.0,1.0,70.0,5.0,5.0,4.9,4.9,5.0,4.9,28.0,1.0
234,2.0,1.0,1.0,102.0,4.9,4.9,5.0,5.0,5.0,4.8,40.0,1.0
235,2.0,1.0,1.0,106.0,4.9,5.0,5.0,4.9,5.0,4.8,32.0,1.0
236,2.0,1.0,1.0,105.0,5.0,5.0,5.0,4.9,5.0,4.9,21.0,1.0
237,1.0,1.0,1.0,128.0,4.8,4.9,4.9,4.7,4.9,4.7,39.0,1.0
238,6.0,5.0,2.0,211.0,4.9,4.8,4.8,4.9,4.9,4.7,34.0,3.0
239,2.0,1.0,1.5,102.0,4.8,5.0,5.0,4.9,5.0,4.8,25.0,1.0
240,2.0,1.0,1.0,133.0,5.0,5.0,5.0,5.0,5.0,5.0,53.0,1.0
241,1.0,1.0,1.0,90.0,4.9,5.0,5.0,4.8,4.9,4.8,30.0,1.0
242,2.0,1.0,1.0,96.0,5.0,5.0,5.0,5.0,5.0,4.9,52.0,1.0
243,4.0,2.0,1.0,49.0,5.0,4.9,5.0,4.9,5.0,4.8,42.0,1.0
244,5.0,3.0,1.0,170.0,4.9,5.0,5.0,4.9,5.0,4.9,34.0,2.0
245,2.0,1.0,1.0,44.0,5.0,4.9,5.0,4.9,5.0,4.8,20.0,1.0
246,4.0,3.0,1.5,119.0,4.9,5.0,5.0,5.0,5.0,4.9,27.0,2.0
247,8.0,5.0,3.0,245.0,4.0,4.4,4.0,4.8,4.6,4.1,33.0,4.0
248,2.0,1.0,1.0,92.0,4.8,4.9,5.0,4.9,5.0,4.7,37.0,1.0
249,2.0,1.0,1.5,125.0,5.0,4.9,4.9,5.0,5.0,4.9,31.0,1.0
250,1.0,1.0,1.0,115.0,4.9,5.0,5.0,5.0,5.0,4.9,52.0,1.0
251,2.0,1.0,1.0,72.0,4.9,5.0,5.0,4.8,5.0,4.9,24.0,1.0
252,2.0,1.0,1.0,104.0,5.0,5.0,5.0,5.0,5.0,4.9,34.0,1.0
253,2.0,2.0,1.0,133.0,4.9,5.0,5.0,4.9,5.0,4.8,30.0,1.0
254,2.0,1.0,1.0,60.0,5.0,5.0,5.0,4.9,5.0,4.9,30.0,1.0
255,2.0,1.0,1.5,58.0,4.8,4.9,4.9,4.9,4.9,4.9,43.0,1.0
256,2.0,1.0,1.0,106.0,4.8,4.9,5.0,4.9,4.9,4.7,20.0,1.0
257,2.0,1.0,1.0,119.0,5.0,4.9,4.9,5.0,5.0,4.7,23.0,1.0
258,4.0,2.0,1.5,159.0,4.9,4.9,4.9,4.9,5.0,4.6,40.0,1.0
259,2.0,1.0,1.0,80.0,5.0,5.0,5.0,4.9,5.0,4.9,22.0,1.0
260,2.0,1.0,1.0,73.0,5.0,5.0,5.0,5.0,5.0,4.9,42.0,1.0
261,2.0,1.0,1.0,59.0,5.0,5.0,5.0,5.0,5.0,5.0,28.0,1.0
262,2.0,1.0,1.0,83.0,5.0,5.0,5.0,5.0,5.0,4.9,18.0,1.0
263,2.0,2.0,1.0,75.0,5.0,5.0,5.0,5.0,5.0,4.9,29.0,1.0
264,2.0,1.0,1.0,100.0,5.0,5.0,5.0,4.9,5.0,4.9,28.0,1.0
265,1.0,1.0,1.0,61.0,5.0,5.0,5.0,4.8,5.0,4.9,40.0,1.0
266,3.0,1.0,1.0,86.0,5.0,5.0,5.0,4.9,5.0,4.9,46.0,1.0
267,2.0,1.0,1.0,79.0,4.7,4.8,4.9,4.9,5.0,4.7,43.0,1.0
268,4.0,3.0,2.0,88.0,5.0,4.9,5.0,4.8,5.0,4.9,55.0,2.0
269,2.0,1.0,1.0,84.0,4.8,5.0,4.9,5.0,5.0,4.8,38.0,1.0
270,2.0,1.0,1.0,109.0,5.0,5.0,5.0,4.9,5.0,4.9,40.0,1.0
271,6.0,5.0,1.0,91.0,5.0,4.9,5.0,4.9,5.0,4.8,31.0,1.0
272,2.0,1.0,1.0,45.0,5.0,5.0,5.0,4.9,5.0,4.9,44.0,1.0
273,8.0,5.0,1.5,116.0,4.8,4.9,4.8,4.9,4.9,4.8,39.0,1.0
274,4.0,2.0,1.0,143.0,4.8,5.0,4.9,4.9,5.0,4.7,25.0,1.0
275,2.0,1.0,1.0,105.0,5.0,5.0,5.0,4.9,5.0,4.8,48.0,1.0
276,5.0,2.0,2.0,131.0,5.0,4.9,5.0,5.0,5.0,4.9,32.0,2.0
277,4.0,2.0,1.0,138.0,4.6,4.9,5.0,5.0,5.0,4.8,26.0,1.0
